Designator,Mid X,Mid Y,Layer,Rotation
C1,39.63,-13.7,top,180
C2,42.3,-16.5,top,-90
C3,29.63,-14.6,top,-90
C4,22.2,-23.5,top,-90
C5,15,-32.5,top,0
C6,34.28,-17.9,top,-90
C7,37,-23.6,top,0
C8,40.1,-23.6,top,0
C9,29.9,-28.175,top,-90
C10,66.13,-13.7,top,180
C11,68.8,-16.5,top,-90
C12,56.13,-14.6,top,-90
C13,48.7,-23.5,top,-90
C14,41.5,-32.5,top,0
C15,60.78,-17.9,top,-90
C16,63.4,-23.6,top,0
C17,66.5,-23.6,top,0
C18,56.41,-28.175,top,-90
C19,92.63,-13.7,top,180
C20,95.3,-16.5,top,-90
C21,82.63,-14.6,top,-90
C22,75.2,-23.9,top,-90
C23,68,-32.5,top,0
C24,87.28,-17.9,top,-90
C25,89.9,-23.6,top,0
C26,93,-23.6,top,0
C27,82.91,-28.175,top,-90
C28,72.3,-58.325,top,-90
C29,79.1,-56.2,top,180
C30,79.1,-59.4,top,180
C31,79.1,-62.6,top,180
C32,49,-57.7,top,180
C33,45.3,-57.7,top,0
C34,52.7,-65.7,top,180
C35,45.3,-65.7,top,0
C36,56,-59.3,top,0
C37,61,-44,top,0
D1,34,-11.8,top,180
D2,32.5,-23.775,top,-90
D3,60.5,-11.8,top,180
D4,59,-23.775,top,-90
D5,87,-11.8,top,180
D6,85.5,-23.775,top,-90
J1,93.5,-49.5,top,90
J2,2.65,-30.5,top,-90
J3,52.5,-1.8625,top,0
J4,32.25,-48.71,top,90
L1,4.5,-49,top,0
L2,4.5,-51,top,0
L3,4.5,-53,top,0
L4,4.5,-55,top,0
PS1,9.75,-11.15,top,-90
Q1,27.57,-8.4,top,90
Q2,27.57,-22.27,top,90
Q3,54.07,-8.4,top,90
Q4,54.07,-22.27,top,90
Q5,80.57,-8.4,top,90
Q6,80.57,-22.27,top,90
R1,32.73,-14.6,top,90
R2,34.28,-14.6,top,90
R3,31.18,-14.6,top,-90
R4,34.5,-24.45,top,-90
R5,33.35,-20.3,top,180
R6,31.5,-28.175,top,-90
R7,59.23,-14.6,top,90
R8,60.78,-14.6,top,90
R9,57.68,-14.6,top,-90
R10,61,-24.45,top,-90
R11,59.85,-20.3,top,180
R12,58.01,-28.175,top,-90
R13,85.73,-14.6,top,90
R14,87.28,-14.6,top,90
R15,84.18,-14.6,top,-90
R16,87.5,-24.45,top,-90
R17,86.35,-20.3,top,180
R18,84.51,-28.175,top,-90
R19,79.1,-57.8,top,180
R20,79.1,-61,top,180
R21,79.1,-64.2,top,180
R22,45.3,-56.1,top,0
R23,52.7,-67.3,top,180
R24,42,-57.7,top,0
R25,56,-65.7,top,180
R26,42,-59.3,top,0
R27,56,-64.1,top,180
R28,42,-60.9,top,180
R29,56,-62.5,top,180
R30,45.3,-67.3,top,0
R31,56,-57.7,top,180
R32,42,-65.7,top,0
R33,56,-60.9,top,0
R34,42,-64.1,top,0
R35,42,-62.5,top,180
R36,57.8,-44,top,0
R37,9,-38,top,-90
R38,7,-38,top,90
R39,14.3,-42.5,top,180
R40,9.25,-46.275,top,90
R41,10.8,-46.275,top,-90
R42,10,-49,top,0
R43,10,-51,top,0
R44,10,-53,top,0
R45,10,-55,top,0
SR1,26.7,-30.6,top,-90
SR2,53.2,-30.6,top,-90
SR3,79.705,-30.6,top,-90
TH1,74.8,-20.7,top,180
U1,38.5,-18.7,top,-90
U2,65,-18.7,top,-90
U3,91.5,-18.7,top,-90
U4,75.32,-60.2,top,-90
U5,49,-61.7,top,0
