Designator,Mid X,Mid Y,Layer,Rotation
C1,47.6,-84.8,top,0
C2,47.5,-83.5,top,0
C3,43.27,-83.5,top,180
C4,43.4,-84.8,top,180
C5,28.82,-59.8,top,0
C6,30.7,-59.8,top,0
C7,41.1,-27.1,top,180
C8,41.2,-25.8,top,180
C10,35.775,-61.05,top,180
C11,35.25,-59.8,top,180
C12,39.75,-44.75,top,-90
C13,30.1,-40.25,top,0
C14,23.89,-40.25,top,0
C15,20.2,-55.85,top,90
C16,25.42,-60.1,top,180
C17,42.05,-51.5,top,-90
C18,39.8,-51.4,top,-90
C19,43.6,-51.5,top,-90
C20,40.79,-51.4,top,-90
C21,12,-79.75,top,90
C22,16.48,-16.1,top,0
C23,10.4,-68.5,top,90
C24,49.6,-33.9,top,-90
FB1,43.5,-59,top,90
J8,16,-12,top,90
J9,55,-9.7,top,90
J11,6.25,-92.75,top,0
J12,55,-93.5,top,90
L1,17,-92,top,-90
L2,19,-92,top,-90
L3,21,-92,top,-90
L4,24.5,-92,top,-90
L5,26.5,-92,top,-90
L6,28.5,-92,top,-90
L7,30.5,-92,top,-90
L8,34,-92,top,-90
L9,36,-92,top,-90
L10,38,-92,top,-90
R1,36.9,-19.6,top,-90
R2,41,-11,top,0
R3,46,-59,top,90
R4,28.54,-80,top,90
R5,31.08,-80,top,90
R6,10.5,-79.175,top,-90
R7,18.54,-80,top,90
R8,17,-37.3,top,90
R9,41.1,-40.7,top,180
R11,18,-72.825,top,90
R12,20,-72.825,top,90
R13,22,-72.825,top,90
R14,24,-72.825,top,90
R15,26,-72.825,top,90
R16,28,-72.825,top,90
R17,30,-72.825,top,90
R18,32,-72.825,top,90
R19,34,-72.825,top,90
R20,36,-72.825,top,90
SW1,7,-12,top,90
SW2,10.5,-86.75,top,180
U1,44.5,-78,top,90
U2,30,-50,top,90
U3,41.25,-21,top,90
Y1,29.76,-62.35,top,0
